fold,dice_et,dice_tc,dice_wt,hd95_et,hd95_tc,hd95_wt
1,2.4577726595043437e-11,0.003014326084510577,0.004261346400219102,0.0,148.89334250137037,148.60823206496028
2,9.057083021712816e-10,5.666754361001891e-10,0.02434989633965237,0.0,148.21835206326625,140.02054664602286
3,0.31958782288674237,0.03602923511985148,0.03593684242436498,0.0,77.84747364974014,86.37967891924433
4,1.0,0.09040517064869492,0.1059076461780144,0.0,77.57358699548018,76.71942028533998
5,1.0,0.014760372062363475,0.022723104467083022,0.0,153.874853243748,153.4963689995635
Average,0.4639175647634056,0.02884182089641918,0.03863576716186677,0.0,121.28152169072101,121.04484938302619
