fold,dice_et,dice_tc,dice_wt,hd95_et,hd95_tc,hd95_wt
1,1.0,0.2109999583996195,0.2614842963552521,0.0,82.57258373328196,81.92428834623388
2,1.0,0.14491610874072797,0.23203016522002862,0.0,77.62522956456675,74.12806868594211
3,1.0,0.12711321369110648,0.24899368894258264,0.0,86.82969741759814,62.5786836980416
4,1.0,0.222127517173212,0.2781732428173071,0.0,81.74425511818252,74.99804105908939
5,1.0,0.08783181179803994,0.12195958512135291,0.0,97.66083765987571,97.77281573869784
Average,1.0,0.15859772196054117,0.22852819569130464,0.0,85.28652069870103,78.28037950560096
